United States^56.7 °C^Furnace Creek, Death Valley,California^10 July 1913
Iran 	^54.0 °C ^	Ahvaz Airport (OIAW) 	29 June 2017[50]
Israel ^(then Palestine) ^54.0 °C ^Tirat Zvi^21 June 1942
Iraq ^	53.9 °C ^ 	Basra ^22 July 2016
Kuwait^ 	53.9 °C ^	Mitribah^	21 July 2016
Pakistan^ 	53.7 °C ^ 	Mohenjo-daro ^	28 May 2017
United Arab Emirates^52.1 °C^Al Jazeera Border Gate^20 July 2002
